nachforderung;feature_0;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37;feature_38;feature_39;feature_40;feature_41;feature_42;feature_43;feature_44;feature_45;feature_46;feature_47;feature_48;feature_49
0;2;0;20,46666667;0;327;0;0;0;1;0;0;0;1;0;0;2;0;100;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,92
19,98;3;0;78,86879699;58,61358491;353;0;0;0;1;0;1;0;0;0;0;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,77
0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;80;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,04
0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;100;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,93
0;8;4,05;248,1976402;281,9085532;3585;0;6;0;0;0;0;0;1;0;1;1;3;100;1;2;0;0;1;4;0;0;0,25;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3
0;3;0;80,46621369;83,52136054;831;0;0;0;1;0;1;0;1;0;0;2;0;100;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,35
0;12;0;299,2729165;262,1648;2767;0;0;0;1;0;0;0;0;0;0;1;1;100;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,64
0;10;0;50,94291381;56,46010526;1311;1;0;0;1;0;1;0;0;0;1;1;0;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,92
3884,46;43;0;284,3411183;257,8364425;5172;0;0;0;0;1;0;0;0;0;1;1;1;100;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;92,16
0;2;0;109,7002414;119,5967153;1049;0;0;0;1;1;0;0;1;0;0;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,75
0;8;0;179,0517638;171,242574;2191;0;0;0;0;0;0;0;0;0;1;1;2;100;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58
